feature,perm_importance_mean,perm_importance_std
e_centroid,0.2935653427376548,0.0060421287649855306
n_centroid,0.08934930599531644,0.0023786385707540553
municipality,0.08714885287913157,0.003002726102035325
settlement,0.037127832539742445,0.000848132534491811
build_year,0.031430078068749555,0.0012068210708361604
area_m2,0.025740474816083957,0.0015928088525252178
building_area_m2,0.010191626512355478,0.00043286391630229225
usable_area_m2,0.009845289240452559,0.0008080173038593493
property_age,0.004528070456521649,0.0002206513130762111
SIFRA_KO,0.0021977129757720258,8.750479549831863e-05
ko_name,0.0020005577892655,0.0001192015575137985
sale_month,0.0007186473390995874,4.042227326145446e-05
trznost_group,0.00029988870199179065,0.000528757182200856
LEGA_DELA_STAVBE_V_STAVBI,0.00027584281544911214,0.0001098227709907599
TRZNOST_POSLA_OPIS,0.0002564012443963093,0.000546665268784816
TRZNOST_POSLA,0.0002485565589087635,0.0005509134981609878
sale_quarter,6.8340178462023e-05,4.0266344363666614e-05
STAVBA_JE_DOKONCANA,4.668694380760563e-06,5.380820577326205e-08
GRADBENA_FAZA,1.6446991285667956e-06,9.695454472670049e-08
parking_spaces,3.3306690738754695e-17,2.719479911021037e-17
VRSTA_KUPOPRODAJNEGA_POSLA_OPIS,2.2204460492503132e-17,2.719479911021037e-17
sale_year,2.2204460492503132e-17,4.440892098500627e-17
SOURCE_YEAR,2.2204460492503132e-17,2.719479911021037e-17
VRSTA_DELA_STAVBE_OPIS,1.1102230246251566e-17,2.2204460492503132e-17
rooms,1.1102230246251566e-17,2.2204460492503132e-17
VRSTA_KUPOPRODAJNEGA_POSLA,1.1102230246251566e-17,2.2204460492503135e-17
VRSTA_AKTA,1.1102230246251566e-17,2.2204460492503132e-17
has_atrium,1.1102230246251566e-17,2.2204460492503132e-17
VRSTA_DELA_STAVBE,1.1102230246251566e-17,2.2204460492503132e-17
NADSTROPJE_DELA_STAVBE,0.0,3.510833468576701e-17
VRSTA_AKTA_OPIS,0.0,0.0
area_source,-1.1102230246251566e-17,2.2204460492503132e-17
VKLJUCENOST_DDV,-1.4711978297721195e-05,1.1733929173038796e-05
NOVOGRADNJA,-2.835081510276227e-05,1.9736065336595064e-05
